1,Bután,3,4,5009,192,44
2,Noruega,2,1,3418,84,21
3,Chile,1,4,3318,84,56
4,Uruguay,3,4,2640,169,53
5,Argentina,4,3,1202,74,72
6,Brasil,3,3,5541,106,65
7,Spain,4,1,4142,172,7
8,Noruega,3,4,4487,110,33
9,Chile,2,1,584,170,66
10,Uruguay,4,2,1997,166,18
11,Argentina,2,2,1015,85,43
12,Brasil,4,3,2631,104,6
13,Spain,1,2,5001,71,10
14,Noruega,2,2,3658,112,4
15,Chile,4,1,5376,122,39
16,Uruguay,3,3,4266,117,7
17,Argentina,3,2,651,85,4
18,Brasil,3,2,2524,43,26
19,Montenegro,2,3,1844,41,55
20,Ciudad del Vaticano,2,3,2317,161,15
21,Bahamas,1,1,3266,55,11
22,Venezuela,3,2,28,142,44
23,Jordania,2,3,1511,157,64
24,Montenegro,2,3,2882,102,17
25,Irlanda,2,1,575,40,32
26,Portugal,3,2,4747,63,66
27,Togo,2,3,3215,119,54
28,Seychelles,4,3,3074,91,6
29,Tailandia,4,4,3897,152,71
30,Guinea-Bisáu,2,2,364,156,4
31,Irán,1,1,4112,179,37
32,Benín,3,2,652,185,67
33,Rusia,1,2,3500,23,12
34,Costa Rica,4,3,3272,131,74
35,Pakistán,2,2,1452,183,41
36,Corea del Sur,3,3,3870,112,58
37,Rumania / Rumanía,1,2,3240,119,9
38,Kirguistán,4,4,2896,51,15
39,Perú,3,2,1168,45,39
40,Luxemburgo,1,2,4931,88,13
41,Sudán del Sur,2,1,96,169,11
42,Mónaco,2,2,900,137,58
43,Kenia,2,3,1192,184,33
44,Honduras,4,1,5334,194,35
45,Belice,2,3,1275,163,65
46,Alemania,1,4,4729,22,33
47,Islas Salomón,4,2,3959,116,34
48,Líbano,1,4,3055,134,46
49,Yibuti,4,2,2284,67,64
50,Fiyi,3,3,2975,104,32
51,Liberia,3,2,5495,148,62
52,Cabo Verde,3,1,3203,112,68
53,Países Bajos,4,4,369,56,46
54,Sri Lanka,3,2,5003,8,59
55,Nepal,4,4,2319,48,65
56,Croacia,1,4,1013,143,42
57,Kiribati,4,2,192,20,23
58,República del Congo,4,1,3800,132,66
59,Antigua y Barbuda,4,1,2070,47,1
60,Birmania / Myanmar,4,1,3377,122,36
61,Malasia,2,1,4719,89,41
62,Surinam,2,2,2678,179,56
63,Turkmenistán,3,3,2671,10,70
64,Tanzania,4,1,2449,90,60
65,Sudán,3,3,1769,48,33
66,Australia,3,1,5329,160,17
67,Botsuana,4,1,1249,186,48
68,Dinamarca,2,4,3301,9,18
69,Lesoto,3,3,109,190,43
70,Estados Unidos,2,2,4861,195,34
71,Liberia,3,4,2445,120,7
72,Kazajistán,1,2,3963,153,51
73,Malta,4,2,4870,89,4
74,Lituania,1,1,4185,114,23
75,Israel,2,2,5025,199,68
76,Gambia,2,3,2463,53,72
77,Ruanda,4,4,534,78,70
78,Yemen,4,2,1875,79,65
79,Turquía,3,4,275,40,34
80,Omán,1,3,741,16,42
81,Argentina,2,1,2926,83,70
82,Gambia,3,1,1100,3,70
83,Pakistán,1,4,4451,114,60
84,Botsuana,1,4,630,177,43
85,Sudán del Sur,4,3,5223,96,5
86,República Checa / Chequia,3,1,5496,2,17
87,Afganistán,1,1,3895,150,26
88,Rusia,1,3,3489,44,39
89,China,4,2,4533,135,36
90,Dinamarca,3,3,4932,161,7
91,Nueva Zelanda / Nueva Zelandia,1,4,4133,142,3
92,Islas Marshall,2,4,4910,175,45
93,Yibuti,2,3,5389,196,11
94,Bután,1,3,3812,107,62
95,Turkmenistán,4,1,4595,158,59
96,Eslovaquia,3,3,2387,185,48
97,Barbados,3,2,4217,197,40
98,Uruguay,2,2,4823,37,55
99,Bahamas,3,1,1707,70,42
100,Islandia,1,4,1522,88,28
101,Fiyi,3,4,3673,90,14
102,Marruecos,2,2,4123,29,61
103,Croacia,1,2,5143,162,68
104,Letonia,2,3,4009,176,67
105,Guyana,4,3,4137,48,56
106,Francia,4,4,2072,188,61
107,Egipto,3,2,1567,105,42
108,Nueva Zelanda / Nueva Zelandia,4,1,5004,107,67
109,Comoras,2,2,5056,201,53
110,Moldavia,3,1,3435,73,35
111,Gabón,1,1,599,53,66
112,Panamá,4,2,1943,12,66
113,Mauritania,3,1,4542,200,51
114,Suiza,2,1,293,31,41
115,Suecia,2,1,4622,117,33
116,Gabón,3,1,4634,95,30
117,Senegal,4,1,551,47,58
118,Camboya,4,3,5203,124,41
119,Paraguay,4,1,1697,72,57
120,Estonia,2,1,4277,3,45
121,Sudán,2,3,4409,186,65
122,Guatemala,4,3,3776,16,45
123,Tanzania,1,3,588,14,39
124,Vanuatu,4,2,1369,34,32
125,República del Congo,2,3,5219,144,2
126,Papúa Nueva Guinea,3,1,2424,65,12
127,Brunéi,3,1,3006,95,35
128,México,1,4,3674,34,17
129,Albania,4,4,5085,200,2
130,Liechtenstein,3,4,3170,182,5
131,Omán,4,2,1792,13,73
132,Níger,3,1,2263,163,22
133,Burkina Faso,1,1,2371,18,68
134,Suiza,2,1,4080,63,52
135,Cabo Verde,1,1,4992,68,41
136,Santo Tomé y Príncipe,2,2,4891,120,17
137,Vanuatu,1,1,16,37,73
138,Arabia Saudita / Arabia Saudí,4,3,1178,93,28
139,Georgia,4,1,3342,43,33
140,Nepal,4,3,1815,128,17
141,Kiribati,1,2,2726,99,73
142,Kenia,1,3,10,45,23
143,Ruanda,3,2,507,94,74
144,Bolivia,2,4,3769,139,71
145,Estados Unidos,4,2,1723,149,42
146,El Salvador,4,2,4609,192,20
147,Samoa,2,4,311,196,17
148,Finlandia,3,1,3300,167,33
149,Antigua y Barbuda,3,2,952,151,11
150,Chipre,3,4,5116,6,4
151,República Centroafricana,1,3,4292,96,64
152,Libia,3,1,2021,88,34
153,Macedonia del Norte,4,3,3011,116,37
154,Granada,4,1,4932,145,44
155,Mauricio,1,1,5106,190,35
156,Camerún,1,4,1206,150,20
157,Emiratos Árabes Unidos,1,1,2242,21,67
158,Singapur,2,1,2993,19,29
159,Haití,2,3,5465,46,26
160,San Cristóbal y Nieves,2,3,4606,32,62
161,Madagascar,4,3,4098,80,6
162,Ghana,4,1,4218,35,34
163,Ghana,4,4,4018,115,23
164,Tayikistán,1,3,2825,49,30
165,Palaos,2,3,4113,33,49
166,Singapur,3,1,4854,120,39
167,Catar,2,1,2118,127,70
168,Islas Salomón,4,3,3466,187,2
169,Italia,4,4,5456,38,6
170,Madagascar,4,2,285,64,26
171,Sri Lanka,3,1,4451,11,39
172,Venezuela,3,2,1800,140,1
173,Baréin,4,3,3339,168,23
174,Irlanda,2,4,2201,8,34
175,Angola,4,2,783,2,68
176,Bielorrusia,2,4,2745,180,56
177,Argentina,3,4,813,101,16
178,Suazilandia,3,2,1821,12,5
179,Honduras,2,3,3488,32,27
180,Burundi,1,3,1107,130,32
181,Barbados,4,2,4839,171,2
182,India,4,1,4114,153,1
183,Chipre,1,4,3788,52,56
